# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "Name" "-a" "NCTC8325.gff3.gz" "-o" "counts.tsv" "SRR935091.sorted.bam" "SRR935090.sorted.bam" "SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR935091.sorted.bam	SRR935090.sorted.bam	SRR935092.sorted.bam
ABD30026-1	Chromosome	866516	867091	+	576	1	1	2
ABD30027-1	Chromosome	867096	867620	+	525	0	1	6
ABD30028-1	Chromosome	867744	868211	+	468	1	3	10
ABD30029-1	Chromosome	868371	871847	+	3477	2	2	11
ABD30030-1	Chromosome	871848	875501	+	3654	6	3	13
ABD30031-1	Chromosome	875667	876569	+	903	11	17	35
ABD30032-1	Chromosome	876898	877287	+	390	5	0	4
ABD30033-1	Chromosome	877458	878774	-	1317	1	15	11
ABD30034-1	Chromosome	878826	879650	-	825	0	5	5
ABD30035-1	Chromosome	879806	880072	+	267	12	6	7
ABD30036-1	Chromosome	880619	882433	+	1815	1	2	2
ABD30037-1	Chromosome	882636	885245	+	2610	19	8	7
ABD30038-1	Chromosome	885304	886173	-	870	0	0	1
ABD30039-1	Chromosome	886283	887428	+	1146	0	0	0
ABD30040-1	Chromosome	887412	888053	+	642	0	0	0
ABD30041-1	Chromosome	888046	889164	+	1119	0	0	0
ABD30042-1	Chromosome	889148	889663	+	516	0	2	0
ABD30043-1	Chromosome	889974	890408	+	435	6	0	5
ABD30044-1	Chromosome	890665	890850	-	186	0	6	7
ABD30045-1	Chromosome	891145	892086	+	942	7	23	45
ABD30046-1	Chromosome	892098	893342	+	1245	9	27	68
ABD30047-1	Chromosome	893397	893768	-	372	0	0	0
ABD30048-1	Chromosome	894011	894937	+	927	0	0	1
ABD30049-1	Chromosome	894937	896007	+	1071	2	0	0
ABD30050-1	Chromosome	896024	897106	+	1083	0	2	0
ABD30051-1	Chromosome	897096	898037	+	942	0	0	0
ABD30052-1	Chromosome	898056	899711	+	1656	1	2	1
ABD30053-1	Chromosome	899923	901638	+	1716	0	0	0
ABD30054-1	Chromosome	901689	902675	+	987	0	0	1
ABD30055-1	Chromosome	902678	903658	+	981	0	0	0
ABD30056-1	Chromosome	903651	904613	+	963	0	0	0
ABD30057-1	Chromosome	904625	905506	+	882	0	0	0
ABD30058-1	Chromosome	905548	906537	-	990	1	4	10
ABD30059-1	Chromosome	906832	907227	+	396	55	38	45
ABD30060-1	Chromosome	907598	908317	+	720	17	9	12
ABD30061-1	Chromosome	908438	909424	+	987	0	0	0
ABD30062-1	Chromosome	909472	911280	+	1809	0	8	15
EBG00001047369-1	Chromosome	911380	911477	-	98	0	0	1
EBG00001047356-1	Chromosome	911443	911561	-	119	0	1	0
ABD30063-1	Chromosome	911740	912546	-	807	0	6	7
ABD30064-1	Chromosome	912569	912886	-	318	0	4	2
ABD30065-1	Chromosome	913038	913631	-	594	0	2	4
ABD30066-1	Chromosome	913817	914164	+	348	1	2	3
ABD30067-1	Chromosome	914181	914816	+	636	0	5	9
ABD30068-1	Chromosome	914833	915642	+	810	3	4	7
ABD30069-1	Chromosome	915639	916493	+	855	3	1	1
ABD30070-1	Chromosome	916514	917899	+	1386	4	2	6
ABD30071-1	Chromosome	917909	919753	+	1845	3	3	13
ABD30072-1	Chromosome	920031	920801	+	771	14	28	21
ABD30073-1	Chromosome	920996	922081	-	1086	1	2	8
ABD30074-1	Chromosome	922423	923991	+	1569	0	0	0
ABD30075-1	Chromosome	924133	924891	+	759	2	2	0
ABD30076-1	Chromosome	925085	925594	+	510	12	1	9
ABD30077-1	Chromosome	925707	926915	-	1209	6	5	5
ABD30078-1	Chromosome	926875	928050	-	1176	1	7	15
ABD30079-1	Chromosome	928483	929964	+	1482	2	5	9
ABD30080-1	Chromosome	929948	930208	+	261	1	0	1
ABD30081-1	Chromosome	930208	931770	+	1563	7	2	15
ABD30082-1	Chromosome	932072	932875	+	804	1	2	8
ABD30083-1	Chromosome	933094	935418	+	2325	2	3	8
ABD30084-1	Chromosome	935435	936793	+	1359	11	4	8
ABD30085-1	Chromosome	936932	938443	+	1512	1	1	5
SAOUHSC_T00049-1	Chromosome	938623	938711	-	89	0	0	0
EBG00001047363-1	Chromosome	938623	938711	+	89	0	0	0
SAOUHSC_T0008-1	Chromosome	938714	938788	-	75	0	0	0
EBG00001047338-1	Chromosome	938717	938788	+	72	0	0	0
ABD30086-1	Chromosome	938930	939460	-	531	1	0	0
ABD30087-1	Chromosome	939709	939927	+	219	0	1	0
ABD30088-1	Chromosome	940008	940994	-	987	0	1	7
ABD30089-1	Chromosome	941193	941369	+	177	0	1	8
ABD30090-1	Chromosome	941384	941986	+	603	1	4	8
EBG00001047285-1	Chromosome	942148	942330	-	183	1	0	1
ABD30091-1	Chromosome	942257	942364	+	108	0	0	0
ABD30092-1	Chromosome	942903	943004	+	102	0	0	0
ABD30093-1	Chromosome	943330	945294	+	1965	0	0	0
ABD30094-1	Chromosome	945297	945617	+	321	0	0	0
ABD30095-1	Chromosome	945614	946255	+	642	0	0	0
ABD30096-1	Chromosome	946343	946633	-	291	0	0	2
ABD30097-1	Chromosome	946912	947199	+	288	0	0	0
ABD30098-1	Chromosome	947205	947912	+	708	0	0	4
ABD30099-1	Chromosome	947905	948687	+	783	0	1	1
ABD30100-1	Chromosome	948776	949132	-	357	2	12	6
ABD30101-1	Chromosome	949716	950579	+	864	0	0	0
ABD30102-1	Chromosome	950625	950756	-	132	0	0	0
ABD30103-1	Chromosome	950820	951110	-	291	0	0	0
ABD30104-1	Chromosome	951200	951751	+	552	1	0	0
ABD30105-1	Chromosome	951802	952740	-	939	1	4	11
ABD30106-1	Chromosome	952891	952995	+	105	0	0	0
ABD30107-1	Chromosome	953072	954283	+	1212	2	1	3
ABD30108-1	Chromosome	954270	955943	+	1674	2	3	8
ABD30109-1	Chromosome	955930	956733	+	804	3	1	6
ABD30110-1	Chromosome	956726	957547	+	822	10	11	24
ABD30111-1	Chromosome	957786	958115	-	330	1	0	0
ABD30112-1	Chromosome	958153	959334	-	1182	0	1	0
ABD30113-1	Chromosome	959416	960426	-	1011	1	0	1
ABD30114-1	Chromosome	960954	962108	-	1155	14	0	0
ABD30115-1	Chromosome	962304	963314	-	1011	1	2	0
ABD30116-1	Chromosome	963467	963886	+	420	0	0	0
ABD30117-1	Chromosome	963913	964023	+	111	0	0	0
ABD30118-1	Chromosome	964093	967863	-	3771	57	17	58
ABD30119-1	Chromosome	968091	968525	-	435	0	0	1
ABD30120-1	Chromosome	968680	969150	-	471	3	4	3
ABD30121-1	Chromosome	969198	970415	-	1218	3	6	5
ABD30122-1	Chromosome	970866	972059	+	1194	1	2	6
ABD30123-1	Chromosome	972596	972874	-	279	3	12	14
ABD30124-1	Chromosome	972883	973488	-	606	2	17	25
ABD30125-1	Chromosome	973478	975466	-	1989	3	50	86
ABD30126-1	Chromosome	975466	976566	-	1101	4	41	61
ABD30127-1	Chromosome	976868	976990	+	123	0	0	0
ABD30128-1	Chromosome	977138	977455	-	318	1	6	5
ABD30129-1	Chromosome	978261	979121	-	861	1	3	8
ABD30130-1	Chromosome	979385	979804	+	420	0	0	0
ABD30131-1	Chromosome	979791	980915	+	1125	0	0	0
ABD30132-1	Chromosome	980919	981623	+	705	0	0	0
ABD30133-1	Chromosome	981623	981886	+	264	0	0	0
ABD30134-1	Chromosome	981888	982559	+	672	0	0	0
ABD30135-1	Chromosome	982552	984741	+	2190	0	2	0
ABD30136-1	Chromosome	984720	986204	+	1485	0	1	1
ABD30137-1	Chromosome	986197	987225	+	1029	0	0	0
ABD30138-1	Chromosome	987228	987794	+	567	1	0	0
ABD30139-1	Chromosome	987809	989287	+	1479	1	0	1
ABD30140-1	Chromosome	989309	990556	+	1248	1	1	3
ABD30141-1	Chromosome	990821	991627	-	807	1	5	5
ABD30142-1	Chromosome	991620	993020	-	1401	0	15	6
ABD30143-1	Chromosome	993035	993610	-	576	0	3	4
ABD30144-1	Chromosome	993974	994093	+	120	0	0	0
ABD30145-1	Chromosome	994194	994328	-	135	0	0	0
ABD30146-1	Chromosome	994480	995775	+	1296	1	11	15
EBG00001047255-1	Chromosome	995233	995360	+	128	0	0	0
ABD30147-1	Chromosome	996200	997372	+	1173	0	1	1
ABD30148-1	Chromosome	997426	997968	+	543	1	2	2
ABD30149-1	Chromosome	998122	998388	+	267	6	18	31
ABD30150-1	Chromosome	998391	1000109	+	1719	41	75	152
ABD30151-1	Chromosome	1000346	1000579	-	234	1	1	2
ABD30152-1	Chromosome	1000777	1002138	+	1362	2	2	2
ABD30153-1	Chromosome	1002135	1003154	+	1020	0	2	0
ABD30154-1	Chromosome	1003287	1003949	+	663	1	3	1
ABD32049-1	Chromosome	1003967	1004122	+	156	0	0	0
ABD30155-1	Chromosome	1004298	1005995	-	1698	1	24	38
ABD30156-1	Chromosome	1005995	1006213	-	219	0	3	3
ABD30157-1	Chromosome	1006242	1006364	-	123	0	0	1
ABD30158-1	Chromosome	1006694	1007245	-	552	1	4	8
ABD30159-1	Chromosome	1007610	1008236	+	627	1	6	9
ABD30160-1	Chromosome	1008407	1009519	+	1113	22	58	82
ABD30161-1	Chromosome	1009523	1010500	+	978	15	33	80
ABD30162-1	Chromosome	1010591	1011883	+	1293	23	66	128
ABD30163-1	Chromosome	1011887	1013293	+	1407	40	74	124
ABD30164-1	Chromosome	1013461	1013736	+	276	0	0	0
ABD30165-1	Chromosome	1013880	1014419	+	540	0	1	0
ABD30166-1	Chromosome	1014432	1015526	+	1095	0	3	2
ABD30167-1	Chromosome	1015519	1016316	+	798	1	0	2
ABD30168-1	Chromosome	1016322	1017131	+	810	1	2	3
ABD30169-1	Chromosome	1017131	1018204	+	1074	2	0	2
ABD30170-1	Chromosome	1018278	1019297	+	1020	0	10	13
ABD30171-1	Chromosome	1019580	1019999	+	420	1	3	6
ABD30172-1	Chromosome	1020081	1021433	-	1353	0	3	1
ABD30173-1	Chromosome	1021617	1022231	-	615	1	0	9
ABD30174-1	Chromosome	1022388	1023215	+	828	5	1	4
ABD30175-1	Chromosome	1023313	1023600	+	288	0	2	3
ABD30176-1	Chromosome	1023662	1025509	+	1848	14	21	41
ABD30177-1	Chromosome	1025649	1025816	-	168	0	0	3
ABD30178-1	Chromosome	1025818	1026300	-	483	6	2	0
ABD30179-1	Chromosome	1026441	1026716	+	276	0	2	4
ABD30180-1	Chromosome	1027030	1028256	+	1227	5	4	3
ABD30181-1	Chromosome	1028810	1032262	+	3453	1	38	62
ABD30182-1	Chromosome	1032402	1033472	-	1071	2	3	10
ABD30183-1	Chromosome	1033753	1034664	+	912	1	1	10
ABD30184-1	Chromosome	1034689	1035150	+	462	1	1	6
ABD30185-1	Chromosome	1035362	1035565	+	204	0	0	0
ABD30186-1	Chromosome	1035693	1036514	+	822	0	5	3
ABD30187-1	Chromosome	1036530	1036964	+	435	0	2	2
ABD30188-1	Chromosome	1037027	1037953	-	927	0	1	6
ABD30189-1	Chromosome	1038192	1038446	+	255	1	1	0
ABD30190-1	Chromosome	1038449	1038838	-	390	0	0	2
ABD30191-1	Chromosome	1038980	1039450	+	471	0	1	2
ABD30192-1	Chromosome	1039452	1039934	+	483	0	4	7
ABD30193-1	Chromosome	1039996	1041135	-	1140	6	4	4
ABD30194-1	Chromosome	1041262	1041819	+	558	48	56	77
ABD32050-1	Chromosome	1041731	1041955	-	225	1	1	5
ABD30195-1	Chromosome	1041899	1042030	+	132	4	6	13
ABD30196-1	Chromosome	1042227	1044164	-	1938	1	1	1
ABD30197-1	Chromosome	1044368	1045420	-	1053	0	7	7
ABD30198-1	Chromosome	1045629	1046312	+	684	0	1	1
ABD30199-1	Chromosome	1046312	1047388	+	1077	0	0	2
ABD30200-1	Chromosome	1047415	1048263	+	849	1	0	0
ABD30201-1	Chromosome	1048276	1049052	+	777	0	0	1
ABD30202-1	Chromosome	1048947	1049240	+	294	0	1	0
ABD30203-1	Chromosome	1049302	1050036	+	735	0	1	2
ABD30204-1	Chromosome	1050055	1050378	+	324	0	0	2
ABD30205-1	Chromosome	1050415	1050522	+	108	0	0	0
ABD30206-1	Chromosome	1050762	1051502	+	741	0	0	0
ABD30207-1	Chromosome	1051883	1052941	+	1059	1	5	6
ABD30208-1	Chromosome	1052941	1055343	+	2403	1	8	14
ABD30209-1	Chromosome	1055514	1056452	-	939	0	0	0
ABD30210-1	Chromosome	1056822	1057082	+	261	0	1	2
ABD30211-1	Chromosome	1057090	1057611	+	522	0	0	2
ABD30212-1	Chromosome	1057684	1059396	+	1713	0	2	5
ABD30213-1	Chromosome	1059406	1061754	+	2349	1	3	8
ABD30214-1	Chromosome	1061927	1062241	+	315	0	18	22
ABD30215-1	Chromosome	1062304	1062399	-	96	0	0	0
ABD30216-1	Chromosome	1062634	1064346	+	1713	2	0	3
ABD30217-1	Chromosome	1064670	1065284	+	615	1	0	2
ABD30218-1	Chromosome	1065336	1067102	+	1767	2	5	9
ABD30219-1	Chromosome	1067102	1067917	+	816	0	1	8
ABD30220-1	Chromosome	1068153	1068953	+	801	1	2	6
ABD30221-1	Chromosome	1068965	1069552	+	588	1	3	2
ABD30222-1	Chromosome	1069545	1070048	+	504	0	1	5
ABD30223-1	Chromosome	1070176	1070343	+	168	0	0	0
ABD30224-1	Chromosome	1070537	1070866	+	330	1	11	6
ABD30225-1	Chromosome	1071183	1071275	-	93	0	0	0
ABD30226-1	Chromosome	1071235	1071636	-	402	0	0	0
ABD30227-1	Chromosome	1072308	1072814	+	507	0	2	3
ABD30228-1	Chromosome	1073073	1073570	+	498	2	0	1
ABD30229-1	Chromosome	1073724	1074074	+	351	2	0	0
ABD30230-1	Chromosome	1074500	1074745	+	246	1	0	1
ABD32051-1	Chromosome	1074797	1074952	+	156	0	0	0
ABD30231-1	Chromosome	1074896	1075081	-	186	0	1	3
ABD32052-1	Chromosome	1075291	1075509	-	219	0	1	1
ABD30232-1	Chromosome	1075703	1075936	-	234	0	0	6
ABD30233-1	Chromosome	1076413	1077372	-	960	0	0	0
ABD30234-1	Chromosome	1078045	1078191	+	147	0	0	0
ABD30235-1	Chromosome	1078148	1078372	+	225	0	0	0
ABD30236-1	Chromosome	1078816	1079532	-	717	0	0	1
ABD30237-1	Chromosome	1079640	1080365	-	726	0	0	0
ABD30238-1	Chromosome	1080460	1081185	-	726	0	0	0
ABD30239-1	Chromosome	1081623	1082624	+	1002	0	0	0
ABD30240-1	Chromosome	1082647	1083579	+	933	0	0	1
ABD30241-1	Chromosome	1083817	1085307	+	1491	0	0	1
ABD30242-1	Chromosome	1085615	1085842	+	228	0	0	0
ABD30243-1	Chromosome	1086147	1087094	-	948	6	2	2
ABD30244-1	Chromosome	1087343	1087531	+	189	1	0	0
EBG00001047395-1	Chromosome	1088006	1088079	+	74	0	0	0
SAOUHSC_T0006-1	Chromosome	1088006	1088079	-	74	0	0	0
ABD30245-1	Chromosome	1088443	1088577	+	135	1	0	0
ABD30246-1	Chromosome	1088634	1088768	+	135	0	0	0
ABD30247-1	Chromosome	1088892	1089587	+	696	1	0	1
ABD30248-1	Chromosome	1089696	1090136	-	441	0	3	5
ABD30249-1	Chromosome	1090331	1090558	+	228	0	0	0
ABD30250-1	Chromosome	1090500	1090661	-	162	1	1	0
ABD30251-1	Chromosome	1090750	1091952	+	1203	1	0	3
ABD30252-1	Chromosome	1092096	1092527	+	432	2	15	15
ABD30253-1	Chromosome	1092564	1093478	+	915	5	15	20
ABD30254-1	Chromosome	1093492	1093893	+	402	0	5	6
ABD30255-1	Chromosome	1093874	1096108	+	2235	8	16	24
ABD30256-1	Chromosome	1096400	1097365	+	966	3	3	7
ABD30257-1	Chromosome	1097367	1098716	+	1350	8	4	4
ABD30258-1	Chromosome	1098732	1100051	+	1320	8	8	15
ABD30259-1	Chromosome	1100157	1101569	+	1413	23	34	61
ABD30260-1	Chromosome	1101602	1102774	+	1173	46	47	71
ABD30261-1	Chromosome	1103160	1103825	+	666	2	1	4
ABD30262-1	Chromosome	1103849	1104517	+	669	7	10	14
ABD30263-1	Chromosome	1104514	1105077	+	564	4	7	16
ABD30264-1	Chromosome	1105089	1105379	+	291	3	3	1
ABD30265-1	Chromosome	1105462	1106268	+	807	7	3	8
ABD30266-1	Chromosome	1106292	1106909	+	618	20	6	10
ABD30267-1	Chromosome	1107130	1109883	+	2754	26	28	30
ABD30268-1	Chromosome	1110173	1110970	+	798	0	3	7
ABD30269-1	Chromosome	1111031	1111240	-	210	0	0	0
ABD30270-1	Chromosome	1111794	1112285	+	492	1	4	6
ABD30271-1	Chromosome	1112285	1113202	+	918	1	5	9
ABD30272-1	Chromosome	1113602	1114129	+	528	1	10	16
ABD30273-1	Chromosome	1114347	1115654	+	1308	1	8	9
ABD30274-1	Chromosome	1115682	1116563	+	882	0	6	5
ABD30275-1	Chromosome	1116581	1117855	+	1275	0	9	11
ABD30276-1	Chromosome	1117857	1118957	+	1101	0	5	6
ABD30277-1	Chromosome	1118950	1122123	+	3174	3	21	19
ABD30278-1	Chromosome	1122233	1122925	+	693	1	6	3
ABD30279-1	Chromosome	1122925	1123536	+	612	1	3	7
ABD30280-1	Chromosome	1123566	1123778	+	213	0	1	2
ABD30281-1	Chromosome	1124215	1124616	+	402	0	0	2
ABD30282-1	Chromosome	1124879	1126576	-	1698	1	7	12
ABD30283-1	Chromosome	1126851	1127474	+	624	2	11	11
ABD30284-1	Chromosome	1127474	1127692	+	219	0	2	1
ABD30285-1	Chromosome	1127908	1129107	+	1200	2	1	4
ABD30286-1	Chromosome	1129107	1131515	+	2409	8	3	6
ABD30287-1	Chromosome	1132021	1132974	+	954	0	7	1
ABD30288-1	Chromosome	1133137	1133415	-	279	0	1	1
ABD30289-1	Chromosome	1133639	1134127	+	489	0	0	2
ABD30290-1	Chromosome	1134120	1135055	+	936	0	3	5
ABD30291-1	Chromosome	1135052	1136359	+	1308	2	6	5
ABD30292-1	Chromosome	1136362	1137456	+	1095	0	5	6
ABD30293-1	Chromosome	1137463	1138206	+	744	2	2	7
ABD30294-1	Chromosome	1138203	1140197	+	1995	3	12	20
ABD30295-1	Chromosome	1140443	1141300	+	858	1	2	0
ABD30296-1	Chromosome	1141301	1141945	+	645	0	3	5
ABD30297-1	Chromosome	1141952	1142593	+	642	1	0	1
ABD30298-1	Chromosome	1142974	1143162	-	189	17	64	109
ABD30299-1	Chromosome	1143605	1143979	+	375	6	3	6
ABD30300-1	Chromosome	1143994	1145640	+	1647	31	16	38
ABD30301-1	Chromosome	1145830	1147890	+	2061	0	1	6
ABD30302-1	Chromosome	1148093	1148665	+	573	0	12	22
ABD30303-1	Chromosome	1148670	1149656	+	987	0	13	29
ABD30304-1	Chromosome	1149649	1150575	+	927	2	13	42
ABD30305-1	Chromosome	1150568	1151302	+	735	0	24	48
ABD30306-1	Chromosome	1151425	1151523	-	99	0	2	9
ABD30307-1	Chromosome	1151545	1151778	+	234	9	28	56
ABD30308-1	Chromosome	1151894	1152625	+	732	0	1	0
ABD30309-1	Chromosome	1152772	1156338	+	3567	5	4	10
ABD30310-1	Chromosome	1156338	1157588	+	1251	4	2	2
ABD30311-1	Chromosome	1157575	1157907	+	333	1	3	3
ABD30312-1	Chromosome	1157933	1159300	+	1368	10	9	18
ABD30313-1	Chromosome	1159735	1160010	+	276	3	15	52
ABD30314-1	Chromosome	1160198	1160701	+	504	1	6	4
ABD30315-1	Chromosome	1160701	1161438	+	738	4	6	5
ABD30316-1	Chromosome	1161541	1161891	+	351	22	44	78
ABD30317-1	Chromosome	1162045	1162206	+	162	0	0	0
ABD30318-1	Chromosome	1162135	1164741	-	2607	4	1	5
ABD30319-1	Chromosome	1165142	1166026	+	885	0	2	3
ABD30320-1	Chromosome	1166010	1166777	+	768	0	4	0
ABD30321-1	Chromosome	1166886	1168052	+	1167	6	2	16
ABD30322-1	Chromosome	1168074	1168982	+	909	3	6	8
ABD30323-1	Chromosome	1169209	1170327	+	1119	0	0	0
ABD30324-1	Chromosome	1170355	1171599	+	1245	0	1	0
ABD30325-1	Chromosome	1171904	1172644	+	741	0	0	0
ABD30326-1	Chromosome	1172818	1174893	+	2076	0	16	21
ABD30327-1	Chromosome	1175049	1176356	+	1308	1	7	13
ABD30328-1	Chromosome	1176773	1177669	+	897	1	1	2
ABD30329-1	Chromosome	1177666	1178211	+	546	1	5	2
ABD30330-1	Chromosome	1178277	1179680	+	1404	2	7	17
ABD30331-1	Chromosome	1179705	1180478	+	774	1	5	7
ABD30332-1	Chromosome	1180529	1180621	+	93	1	0	0
ABD30333-1	Chromosome	1180857	1181588	+	732	53	93	128
ABD30334-1	Chromosome	1181622	1181735	+	114	2	2	14
ABD30335-1	Chromosome	1181770	1182651	+	882	39	68	96
ABD30336-1	Chromosome	1182788	1183510	+	723	21	9	18
ABD30337-1	Chromosome	1183529	1184083	+	555	20	9	28
ABD30338-1	Chromosome	1184456	1185226	+	771	3	1	7
ABD30339-1	Chromosome	1185233	1186015	+	783	9	7	13
ABD30340-1	Chromosome	1186354	1187538	+	1185	38	9	9
ABD30341-1	Chromosome	1187558	1189261	+	1704	50	12	28
ABD30342-1	Chromosome	1189525	1193835	+	4311	22	12	17
ABD30343-1	Chromosome	1194125	1194592	+	468	4	1	5
ABD30344-1	Chromosome	1194613	1195788	+	1176	23	8	10
ABD30345-1	Chromosome	1195809	1196093	+	285	6	3	4
ABD30346-1	Chromosome	1196090	1196407	+	318	4	4	4
ABD30347-1	Chromosome	1196412	1198529	+	2118	63	25	50
ABD30348-1	Chromosome	1198915	1199265	+	351	3	3	8
ABD30349-1	Chromosome	1199434	1200351	+	918	1	1	2
ABD30350-1	Chromosome	1200366	1201337	+	972	1	2	6
ABD30351-1	Chromosome	1201452	1201721	+	270	9	41	75
EBG00001047320-1	Chromosome	1202064	1202245	+	182	0	0	1
ABD30352-1	Chromosome	1202091	1204187	+	2097	2	20	33
ABD30353-1	Chromosome	1204525	1206096	+	1572	1	22	20
ABD30354-1	Chromosome	1206478	1208721	+	2244	3	10	23
ABD30355-1	Chromosome	1208726	1209439	+	714	1	1	1
ABD30356-1	Chromosome	1209470	1210735	+	1266	0	1	9
ABD30357-1	Chromosome	1210735	1212021	+	1287	0	1	4
ABD30358-1	Chromosome	1212021	1212725	+	705	0	4	2
ABD30359-1	Chromosome	1212830	1213657	+	828	1	4	9
ABD30360-1	Chromosome	1213676	1214068	+	393	0	1	5
ABD30361-1	Chromosome	1214102	1214680	+	579	2	4	2
ABD30362-1	Chromosome	1214907	1216058	+	1152	0	1	3
ABD30363-1	Chromosome	1216298	1217266	+	969	7	13	26
ABD30364-1	Chromosome	1217620	1219179	+	1560	4	26	48
EBG00001047252-1	Chromosome	1219192	1219282	-	91	1	0	0
ABD30365-1	Chromosome	1219476	1219691	-	216	0	1	6
ABD30366-1	Chromosome	1219865	1220662	+	798	1	2	7
ABD30367-1	Chromosome	1220802	1222562	+	1761	13	9	6
ABD30368-1	Chromosome	1222563	1223429	+	867	4	7	8
ABD30369-1	Chromosome	1223523	1223816	+	294	0	0	1
ABD30370-1	Chromosome	1223950	1225494	+	1545	8	8	9
ABD30371-1	Chromosome	1225495	1225860	+	366	2	1	4
ABD30372-1	Chromosome	1225887	1226378	+	492	1	1	5
ABD30373-1	Chromosome	1226777	1229299	+	2523	4	4	5
ABD30374-1	Chromosome	1229312	1231321	+	2010	2	5	3
ABD30375-1	Chromosome	1231327	1231869	+	543	0	2	5
ABD30376-1	Chromosome	1232334	1233152	+	819	0	1	2
ABD30377-1	Chromosome	1233281	1234777	+	1497	0	5	5
ABD30378-1	Chromosome	1234935	1236608	+	1674	0	5	14
ABD30379-1	Chromosome	1236758	1237672	+	915	0	2	2
ABD30380-1	Chromosome	1237690	1238625	+	936	0	2	1
ABD30381-1	Chromosome	1238640	1238873	+	234	0	0	0
ABD30382-1	Chromosome	1239095	1239571	-	477	1	2	7
ABD30383-1	Chromosome	1239683	1240921	+	1239	2	3	3
ABD30384-1	Chromosome	1240940	1242178	+	1239	6	2	3
ABD30385-1	Chromosome	1242421	1242789	+	369	1	13	8
ABD30386-1	Chromosome	1242808	1244148	+	1341	3	48	44
ABD30387-1	Chromosome	1244641	1244838	+	198	0	1	0
ABD30388-1	Chromosome	1245527	1245751	+	225	0	0	0
ABD30389-1	Chromosome	1246045	1246251	+	207	0	0	0
ABD30390-1	Chromosome	1246952	1247062	+	111	0	0	0
ABD30391-1	Chromosome	1247490	1247675	+	186	0	0	0
ABD30392-1	Chromosome	1248187	1248291	+	105	0	0	0
ABD30393-1	Chromosome	1248246	1248419	+	174	0	0	0
ABD30394-1	Chromosome	1248420	1248671	+	252	0	0	0
ABD30395-1	Chromosome	1248717	1249301	+	585	0	0	3
ABD30396-1	Chromosome	1249422	1249670	+	249	0	0	0
ABD30397-1	Chromosome	1249705	1249827	+	123	0	0	0
ABD30398-1	Chromosome	1249800	1249901	+	102	0	0	0
ABD30399-1	Chromosome	1249947	1250213	+	267	0	0	0
ABD30400-1	Chromosome	1250210	1250347	+	138	0	0	0
ABD30401-1	Chromosome	1250550	1250684	+	135	0	0	2
ABD30402-1	Chromosome	1250775	1251065	+	291	0	1	0
ABD30403-1	Chromosome	1251076	1251270	+	195	1	0	1
ABD30404-1	Chromosome	1251320	1251661	+	342	0	1	0
ABD30405-1	Chromosome	1251668	1251859	+	192	0	0	0
ABD30406-1	Chromosome	1252408	1253433	-	1026	0	1	0
ABD30407-1	Chromosome	1253699	1254025	-	327	0	0	0
ABD30408-1	Chromosome	1253958	1255439	+	1482	0	2	5
ABD30409-1	Chromosome	1255614	1256522	+	909	0	0	0
ABD30410-1	Chromosome	1256491	1257222	+	732	0	0	1
ABD30411-1	Chromosome	1257226	1258317	+	1092	0	2	3
ABD30412-1	Chromosome	1258314	1258916	+	603	0	0	0
ABD30413-1	Chromosome	1259029	1259217	-	189	0	0	1
ABD30414-1	Chromosome	1259356	1259889	+	534	0	2	2
ABD30415-1	Chromosome	1260032	1260886	-	855	0	3	7
ABD30416-1	Chromosome	1261217	1261792	+	576	0	1	1
ABD30417-1	Chromosome	1261846	1263228	-	1383	0	0	0
ABD30418-1	Chromosome	1263419	1264699	+	1281	2	1	0
ABD30419-1	Chromosome	1264705	1265766	+	1062	0	1	0
ABD30420-1	Chromosome	1265768	1266682	+	915	0	2	0
ABD30421-1	Chromosome	1266740	1267543	+	804	1	1	3
ABD30422-1	Chromosome	1267836	1268150	-	315	2	2	5
ABD30423-1	Chromosome	1268125	1268229	-	105	0	0	0
ABD30424-1	Chromosome	1268368	1269822	-	1455	1	19	7
ABD30425-1	Chromosome	1270122	1271543	+	1422	15	30	13
ABD30426-1	Chromosome	1271634	1271783	+	150	4	7	18
ABD30427-1	Chromosome	1272237	1272506	+	270	0	0	3
ABD30428-1	Chromosome	1272663	1273640	+	978	1	5	0
ABD30429-1	Chromosome	1273637	1273741	-	105	0	0	1
ABD30430-1	Chromosome	1273815	1274678	+	864	1	8	6
ABD30431-1	Chromosome	1275058	1275681	-	624	2	4	3
ABD30432-1	Chromosome	1275824	1276057	+	234	1	0	0
ABD30433-1	Chromosome	1276193	1276432	+	240	3	1	2
ABD30434-1	Chromosome	1276664	1278541	+	1878	38	27	82
ABD30435-1	Chromosome	1278774	1279061	+	288	0	2	16
ABD30436-1	Chromosome	1279048	1279146	+	99	0	0	0
ABD30437-1	Chromosome	1279279	1279707	+	429	1	1	6
ABD30438-1	Chromosome	1279831	1280952	+	1122	1	0	1
ABD30439-1	Chromosome	1280956	1283799	+	2844	3	1	2
ABD30440-1	Chromosome	1283879	1283986	+	108	0	0	1
ABD30441-1	Chromosome	1284016	1284504	+	489	4	14	16
ABD30442-1	Chromosome	1284623	1286269	+	1647	23	46	45
ABD30443-1	Chromosome	1287161	1289866	+	2706	4	7	14
